x;y;z
-1.707275;-0.5208642;2.382373
-1.733138;-0.5208473;2.387232
-1.733138;-0.5208473;2.387232
-1.733138;-0.5208473;2.387232
-1.733138;-0.5208473;2.387232
-1.733138;-0.5208473;2.387232
-2.08711;-0.02280106;2.028994
-2.08711;-0.02280106;2.028994
-3.52334;-0.625513;1.145252
-2.733708;-0.2801872;1.398036
-2.591799;-0.2061639;1.486093
-2.588157;-0.2048327;1.490482
-2.553494;-0.181254;1.517265
-2.531662;-0.1785498;1.534773
-2.540771;-0.1789862;1.55145
-2.547492;-0.1811773;1.561587
-2.572569;-0.1820096;1.573087
-2.577071;-0.1856058;1.587509
-4.480811;-1.233845;1.75456
-4.48206;-1.234526;1.754581
-2.146518;-0.02657318;2.041335
-2.135889;-0.02613302;2.04452
-2.143043;-0.02639279;2.041538
-2.138973;-0.02608506;2.03956
-2.138973;-0.02608506;2.03956
-2.101389;-0.02572441;2.078297
-2.142797;-0.02775134;2.073063
-2.149001;-0.02884722;2.090481
-2.149001;-0.02884722;2.090481
-2.155244;-0.03060901;2.123151
-2.163781;-0.03153801;2.133819
-2.190214;-0.03331093;2.141482
-2.173485;-0.03257693;2.145549
-1.966483;-0.08309075;2.50607
-1.956764;-0.08227259;2.504227
-1.950686;-0.08205549;2.523198
-1.938284;-0.08069557;2.499253
-1.91513;-0.0792806;2.531345
-1.915659;-0.07957013;2.548181
-1.905246;-0.07858327;2.538666
-1.904391;-0.07873207;2.553591
-1.909826;-0.07916032;2.552624
-1.90841;-0.07900247;2.549713
-1.911558;-0.07922922;2.547699
-1.945926;-0.08222735;2.561413
-1.960346;-0.08339736;2.561158
-1.950343;-0.08234523;2.544896
-2.032408;-0.07934408;2.632455
-2.032408;-0.0793439;2.632455
-2.032408;-0.0793439;2.632455
-2.032408;-0.07934383;2.632455
-2.032408;-0.0793438;2.632455
-2.032408;-0.07934368;2.632454
-2.032408;-0.0793438;2.632455
-2.032408;-0.07934365;2.632454
-2.229071;-0.1503355;1.541286
-2.229071;-0.1503355;1.541286
-1.951023;-0.5788231;1.45216
-1.951023;-0.5788231;1.45216
-2.058074;-0.6950461;1.409656
-2.055254;-0.6969962;1.405523
-2.050956;-0.6973342;1.407073
-2.053051;-0.6940631;1.415579
-2.060485;-0.6912044;1.419681
-2.146981;-0.6634167;1.461815
-2.14598;-0.6629632;1.460638
-2.155697;-0.6661782;1.455156
-2.162501;-0.6625494;1.45365
-2.174815;-0.670159;1.454078
-2.194362;-0.6818328;1.456853
-2.194304;-0.6816826;1.456864
-2.194304;-0.6816828;1.456864
-2.194304;-0.6816828;1.456864
 ; ; 
-2.558347;-0.1749023;1.547204
 ; ; 
-2.484961;-0.1798886;1.532114
-2.488855;-0.1799651;1.534053
-2.487441;-0.1795925;1.531901
-2.492348;-0.1806756;1.536481
-2.491376;-0.1831928;1.538716
-2.489268;-0.1880129;1.543464
-2.484566;-0.1916153;1.548189
-2.474148;-0.1992299;1.557477
-2.477924;-0.1922083;1.541969
-2.482332;-0.1847782;1.536103
-2.481992;-0.1813643;1.532279
-2.491134;-0.1817716;1.537035
-2.498176;-0.182963;1.541631
-2.51346;-0.1840978;1.56004
-2.507251;-0.186093;1.56312
-2.50901;-0.187665;1.570647
-2.501175;-0.1866693;1.555904
-2.498517;-0.199113;1.591958
-2.498551;-0.1991281;1.591957
-1.955227;-0.01189847;1.950075
-1.959955;-0.01220237;1.95108
-1.959374;-0.01161666;1.938392
-1.957092;-0.01191717;1.948152
-1.957092;-0.01191717;1.948152
-1.962884;-0.01379524;1.983879
-1.957822;-0.01327537;1.978349
-1.946327;-0.01234332;1.971481
-1.938297;-0.01363462;1.971328
-1.936644;-0.01897058;1.974062
-1.936551;-0.01600341;1.974751
-2.220025;-0.03287944;2.097065
-2.345792;-0.06188756;2.1516
 ; ; 
-2.345044;-0.06379035;2.153336
-2.204564;-0.03204185;2.097359
-2.192477;-0.03118464;2.092954
-2.178423;-0.03031108;2.090647
-2.152989;-0.02884531;2.089118
-2.152989;-0.02884531;2.089118
-1.881814;-0.0753068;2.438977
